ID,Address,ZipCode,Station_X,Station_Y,longitude,latitude,ClosestNode,StationZone
STA 01,1901 IRVING BLVD,75207,-96.8265,32.79403,-96.826367,32.794144,3944,559
STA 02,4211 NORTHAVEN RD,75229,-96.838,32.90222,-96.838168,32.902212,3439,3424
STA 03,500 N MALCOLM X BLVD,75226,-96.7831,32.78664,-96.783079,32.786622,2973,2205
STA 04,816 S AKARD ST,75201,-96.7967,32.77445,-96.796786,32.774518,2510,2510
STA 05,2039 N St Augustine Dr,75217,-96.6569,32.7474,-96.656908,32.748759,4279,4279
STA 06,2301 PENNSYLVANIA AVE,75215,-96.772,32.76308,-96.772226,32.762802,4904,389
STA 07,6010 DAVENPORT RD,75248,-96.8036,32.9762,-96.804312,32.976208,3355,1756
STA 08,1904 N Garrett Ave,75206,-96.7764,32.8098,-96.774725,32.811584,3821,2178
STA 09,2002 COOL MIST LN,75253,-96.61,32.67936,-96.608979,32.678926,1211,1197
STA 10,4451 Frankford Rd,75287,-96.8333,32.99756,-96.829549,32.997656,1002,1002
STA 11,3828 Cedar Springs Rd,75219,-96.8096,32.80976,-96.808628,32.809037,2779,2779
STA 12,7520 W WHEATLAND RD,75249,-96.9534,32.6426,-96.955054,32.64202,4843,1903
STA 13,6902 FRANKFORD RD,75252,-96.7845,32.99771,-96.784474,32.997806,3324,3318
STA 14,1005 W 12th St,75208,-96.8395,32.74133,-96.839435,32.741327,4380,1640
STA 15,111 E 8th St,75203,-96.8227,32.74809,-96.822855,32.748897,4300,4300
STA 16,2616 Chalk Hill Rd,75212,-96.9046,32.77522,-96.90561,32.778622,2425,2425
STA 17,6045 Belmont Ave,75206,-96.7627,32.81734,-96.761535,32.817334,3767,2181
STA 18,660 N GRIFFIN ST,75202,-96.804,32.78357,-96.803926,32.782991,4051,4051
STA 19,5600 East Grand Ave,75223,-96.7474,32.79374,-96.747373,32.793729,3926,3926
STA 20,12727 MONTFORT DR,75230,-96.8113,32.92186,-96.811249,32.922589,2696,2695
STA 21,3210 LOVE FIELD DR,75235,-96.8593,32.85096,-96.86243,32.857707,3613,3599
STA 22,12200 COIT RD,75251,-96.7692,32.915,-96.76927,32.914882,4915,1053
STA 23,1660 S CORINTH ST RD,75203,-96.7992,32.72651,-96.799378,32.726165,1892,1892
STA 24,2426 ELSIE FAYE HEGGINS ST,75215,-96.7576,32.75234,-96.757341,32.752542,4268,371
STA 25,2112 56TH ST,75241,-96.7881,32.68413,-96.788328,32.684007,2905,2905
STA 26,3303 SHELDON AVE,75211,-96.8743,32.74406,-96.874064,32.743514,4369,4310
STA 27,8401 Douglas Ave,75225,-96.8086,32.86481,-96.80847,32.86561,3571,687
STA 28,8701 GREENVILLE AVE,75243,-96.7521,32.89526,-96.751595,32.895703,2023,2023
STA 29,9830 Shadow Way,75243,-96.7171,32.9168,-96.717643,32.916803,1979,1979
STA 30,11381 ZODIAC LN,75229,-96.8829,32.89469,-96.881409,32.895128,3198,3197
STA 31,9365 GARLAND RD,75218,-96.704,32.83237,-96.702279,32.833854,4971,2103
STA 32,4262 N JIM MILLER RD,75227,-96.7,32.77427,-96.700066,32.77269,4156,4117
STA 33,754 W Illinois Ave,75224,-96.836,32.72032,-96.836704,32.720435,4498,1902
STA 34,1234 CARBONA DR,75217,-96.6916,32.7331,-96.688415,32.73438,4406,4406
STA 35,3839 WALNUT HILL LN,75229,-96.852,32.88045,-96.856128,32.88058,3129,3128
STA 36,3241 N HAMPTON RD,75212,-96.8566,32.78195,-96.856517,32.782162,4092,2407
STA 37,6780 GREENVILLE AVE,75231,-96.7666,32.86821,-96.766804,32.867113,2157,906
STA 38,2839 WILHURT AVE,75216,-96.7753,32.70792,-96.775832,32.709686,4572,4532
STA 39,2850 RUIDOSA AVE,75228,-96.667,32.84546,-96.665367,32.843183,3510,3508
STA 40,2440 KIRNWOOD DR,75237,-96.8579,32.65487,-96.857013,32.654842,4810,4785
STA 41,5920 ROYAL LN,75230,-96.8064,32.89478,-96.803846,32.894914,3453,3453
STA 42,3333 W MOCKINGBIRD LN,75235,-96.8362,32.83496,-96.835634,32.835273,3701,1863
STA 43,2844 Lombardy Ln,75220,-96.8784,32.86642,-96.87958,32.866406,3572,3543
STA 44,2025 LAGOW ST,75210,-96.7518,32.77639,-96.752271,32.77674,4140,4140
STA 45,716 W Commerce St,75208,-96.8348,32.77299,-96.836055,32.772996,2436,2436
STA 46,331 E CAMP WISDOM RD,75241,-96.8184,32.66236,-96.817849,32.66235,1831,231
STA 47,7161 ENVOY CT,75247,-96.8703,32.81513,-96.869993,32.816436,477,465
STA 48,10480 E Northwest Hwy,75238,-96.7043,32.8642,-96.700402,32.864289,3492,3485
STA 49,4901 S HAMPTON RD,75232,-96.8571,32.68535,-96.856947,32.685105,4702,33
STA 50,841 S WALTON WALKER SERV SB,75211,-96.9203,32.73726,-96.920303,32.737297,146,122
STA 51,200 S ST AUGUSTINE DR,75217,-96.6571,32.71041,-96.657038,32.708736,4567,4567
STA 52,2504 S COCKRELL HILL RD,75211,-96.8914,32.71825,-96.891373,32.720447,4512,4512
STA 53,1407 JOHN WEST RD,75228,-96.6936,32.80712,-96.695191,32.807213,3846,3846
STA 54,6238 BONNIE VIEW RD,75241,-96.7608,32.66965,-96.759995,32.668585,4759,1774
STA 55,6600 TRAMMEL DR,75214,-96.7467,32.84585,-96.743364,32.847954,2148,2130
STA 56,7040 BELT LINE RD,75254,-96.7825,32.94996,-96.784582,32.95009,3378,1995
STA 57,10801 AUDELIA RD,75243,-96.7179,32.89635,-96.717741,32.896441,3447,3446
STA 58,3015 CHAPEL OAKS DR,75019,-96.9851,32.93089,-96.9875041875,32.9480059473,4884,536
